"shortdescription","regex","attemptregex"
"even prefix","(ab|ba)*","(ab+aa|bb+ba)*(a+b)*"
"even prefix","(ab|ba)*","(ab+aa+bb+ba)*(a+b)*"
"even prefix","(ab|ba)*","(ab|aa|bb|ba)*(a+b)*"
"even prefix","(ab|ba)*","(ab+aa|bb+ba)*(a+b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*"
"non isolated 'b'","(a|(b*bb))*",""
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|((a|b)a*b)"
"non isolated 'b'","(a|(b*bb))*","a*bb*a*bb*"
"non isolated 'b'","(a|(b*bb))*","a*b*a*b*"
"non isolated 'b'","(a|(b*bb))*","bb"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","#/(a|b|/|(#*(a|b)))*#/"
"non isolated 'b'","(a|(b*bb))*","((bb)*a*)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*|(a|b)))*#/"
"non isolated 'b'","(a|(b*bb))*","(bbb*a*)*"
"non isolated 'b'","(a|(b*bb))*","(bbb*a*)*|a*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((((a|b)a*ba)|((a|b)a*b))*)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*|((a|b)a*b))?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*((a|b)a*b))?|(((a|b)a*ba)*)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*((a|b)a*b))?|(((a|b)a*ba)*)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|((a|b)a*b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*|((a|b)a*b))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*(((a|b)a*b)?)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#*(ab?))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#*(a|b?))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#*(a|b))*(#)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#*(a|b))*(#)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*(b|ba))*)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*(b|ba))+)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b(a?))?"
"non isolated 'b'","(a|(b*bb))*","(a*bb)*a*"
"non isolated 'b'","(a|(b*bb))*","(a*bb)*a*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#*a|#*b)*#+/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a?)|((a|b)a*b(a?))"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a?)|((a|b)a*b(a?))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a?)|(((a|b)a*b)|((a|b)a*ba)*)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)a*b"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|(/#))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|(/#)|(/))*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b(a(a|b)b)*(a?))?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b)|((a|b)a*(ba))*((a|b)a*b)|((a|b)a*ba)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)|((a|b)a*ba))*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)*|#)#(#*|/)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#+a|#+b)*#+/"
"non isolated 'b'","(a|(b*bb))*","(a*bb)*a*"
"non isolated 'b'","(a|(b*bb))*","(a*bb*b)*a*"
"non isolated 'b'","(a|(b*bb))*","(a*bb*b)*a*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)a*b?a"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#)(a|b|/|(#*(a|b)))*#*/"
"first and third","a(a|b)a(a|b)*","a(a+b)a(a+b)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#)(a|b|/|(#*(a|b)))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#)(a|b|/|(#*(a|b)))*#*#/"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","((a|b)*bab(a|b)*)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*)|((a|b)a*b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b(a(a|b)a*b)*a?)?"
"non isolated 'b'","(a|(b*bb))*","a*(a*b*bbb*a*)*a*"
"non isolated 'b'","(a|(b*bb))*","a*(a*b*bbb*)*a*"
"non isolated 'b'","(a|(b*bb))*","a*(b*bbb*a*)*a*"
"non isolated 'b'","(a|(b*bb))*","(a|b)bb(a|b)"
"even prefix","(ab|ba)*","(ab|ba)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*"
"non isolated 'b'","(a|(b*bb))*","a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*"
"non isolated 'b'","(a|(b*bb))*","bb+"
"non isolated 'b'","(a|(b*bb))*","bb+|b+b"
"non isolated 'b'","(a|(b*bb))*","a*(bb+|b+b)a*"
"non isolated 'b'","(a|(b*bb))*","a*(bb+|b+b)*a*"
"non isolated 'b'","(a|(b*bb))*","(bb+|b+b)*a*(bb+|b+b)*a*"
"non isolated 'b'","(a|(b*bb))*","a*(bb+|b+b)*a*(bb+|b+b)*a*"
"non isolated 'b'","(a|(b*bb))*","(a*(bb+|b+b)*a)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bb+|b+b)*)*"
"even prefix","(ab|ba)*","(ab)*"
"even prefix","(ab|ba)*","(ab|ba)*(a|b)*"
"even prefix","(ab|ba)*","(aa|ab|ba|ba)*"
"even prefix","(ab|ba)*","(ab|ba)*(aa|ab|ba|bb)*"
"even prefix","(ab|ba)*","(ab|ba)*(aa|bb)*(ab|ba)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*(bab)*(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","((a|b)*(bab)*(a|b)*)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(bab)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*(bab)*(a|b)*(bab)*(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","aaaabab"
"contains 'bab'","(a|b)*(bab)(a|b)*","a*(b|aba)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|bab)*(b|aba)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","a*|b*|(a|bab)*(b|aba)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*|(a|bab)*(b|aba)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","b*a*(bab)(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","a*b*a*(bab)(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(b*a*)*(bab)(a|b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)b(a(a|b)b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)a*b(a(a|b)a*b)*(a?)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*#(#|(a|b)(a|b|/)*#)*/"
"non isolated 'a'","(b|(a*aa))*","(b*|a*ab*|aa*b*)(b*|aa*b*|a*ab*)(b*|aa*b*|a*ab*)"
"non isolated 'a'","(b|(a*aa))*","(b*|a+ab*|aa+b*)(b*|aa*b*|a+ab*)(b*|aa+b*|a+ab*)"
"non isolated 'a'","(b|(a*aa))*","(b*|a+ab*|aa+b*)(b*|aa+b*|a+ab*)(b*|aa+b*|a+ab*)"
"non isolated 'a'","(b|(a*aa))*","(b*|a+ab*|aa+b*)(b*|aa+b*|a+ab*)(b*|aa+b*|a+ab*)b*"
"non isolated 'a'","(b|(a*aa))*","(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*"
"non isolated 'a'","(b|(a*aa))*","b*(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a|bb+)*"
"non isolated 'b'","(a|(b*bb))*","(a|b{2,})*"
"even prefix","(ab|ba)*","(a(a|b)|b(a|b))*"
"even prefix","(ab|ba)*","(aa|bb|ab|ba)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/##*(a|b)(a|b|/)*#*(a|b)(a|b|/)*#*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(#*(a|b)(a|b|/)*#*(a|b)(a|b|/)*#*)?#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)*|((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)|((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|((a|b)a*b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|(((a|b)a*ba)*((a|b)a*b))"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)|((a|b)a*ba))*((a|b)a*b)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*(((a|b)a*b)?)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)|(#*(a|b)))*#*/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/##*(a|b)((a|b|/)|(#*(a|b)))*#*/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba?)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)|(#*(a|b)))*#+/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","(/#)(a\b|/|(#*(a|b)))*#*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((a|b)a*b)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b(a?))*|((a|b)a*ba)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*(a|b|#)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*(((a|b)a*b)?)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba?)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*)|((a|b)a*b)|((a|b)aaa*b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)|((a|b)a*b))*"
"non isolated 'b'","(a|(b*bb))*","(a|b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b((a?)|(bb?)))*|((a|b)a*ba)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b(a?))*"
"even prefix","(ab|ba)*","(ab|ba)*"
"non isolated 'b'","(a|(b*bb))*","b*|a*"
"non isolated 'b'","(a|(b*bb))*","(a|bb)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b)|(((a|b)a*ba)*))?"
"non isolated 'b'","(a|(b*bb))*","(a|bb|bbb)*"
"first and third","a(a|b)a(a|b)*","a(a|b)b(a|b)*"
"first and third","a(a|b)a(a|b)*","(a(a|b)b)(a|b)*"
"first and third","a(a|b)a(a|b)*","aaa(a|b)*|aba(a|b)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((((a|b)a*b)|(((a|b)a*ba)*))*)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((((a|b)a*ba)*(a|b)a*b)|((a|b)a*ba)*)?"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|b)a*ba"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(((a|b|/|(#*(a|b)))*)|#+)#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(((a|b|/|(#*(a|b)))*)|/*#+)#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)(/)*|(#+)(a|b))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)(/)*|(#+)(a|b))*(#)+/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((a|b)a*b)?"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#*(a|b))#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/|#*(a|b))?)#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)*#((a|b)|#*))*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((b|a)a*b)?"
"non isolated 'b'","(a|(b*bb))*","(a*bb*ba*)*"
"non isolated 'b'","(a|(b*bb))*","(a*bb*ba*)*"
"non isolated 'b'","(a|(b*bb))*","((a*)+(a*bb*ba*)*)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)*(#?)((a|b)|#*))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b|/)*#((a|b)|#*)?)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(a|ba*ba)*|(a|ba*b)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*(#(a|b|#)(a|b|/)*)*/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)(a*)ba)*)|((a|b)(a*)b)"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((((a|b)(a*)ba)*)|((a|b)(a*)b))*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/)*(#(a|b|#)(a|b|/)*)*|#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#+(a|b))*#+/"
"non isolated 'b'","(a|(b*bb))*","(a+b)*bb(a+b)*"
"non isolated 'b'","(a|(b*bb))*",""
"non isolated 'b'","(a|(b*bb))*","(a|b)*bb(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a+b)*bb(a+b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a+b)*bab(a+b)*"
"non isolated 'b'","(a|(b*bb))*","(a+bbb*)*"
"non isolated 'b'","(a|(b*bb))*","(a+bbb*)"
"non isolated 'b'","(a|(b*bb))*","(a+bbb*)*"
"even prefix","(ab|ba)*","(ab+ba)*(a+b)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)*a*)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)*a*)*"
"non isolated 'b'","(a|(b*bb))*","(a*bbb*a*)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)*a*)"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)*a*)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)*a*)*"
"even prefix","(ab|ba)*","(ab+ba)*"
"even prefix","(ab|ba)*","ba"
"even prefix","(ab|ba)*","(ba)*"
"non isolated 'b'","(a|(b*bb))*","(a+bbb*)*"
"even prefix","(ab|ba)*","(ba+ab)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|#a|#b|/)*#/"
"non isolated 'b'","(a|(b*bb))*","(a*bbb*a*)*"
"non isolated 'b'","(a|(b*bb))*","(a+bbb*)*"
"first and third","a(a|b)a(a|b)*","a(a+b)a(a+b)*"
"first and third","a(a|b)a(a|b)*","(aaa+aba)(a+b)*"
"non isolated 'b'","(a|(b*bb))*","(a*(bbb*)*a*)*"
"first and third","a(a|b)a(a|b)*","a(a+b)a(a+b)*"
"first and third","a(a|b)a(a|b)*","(aaa(a+b)*)|(aba(a+b)*)"
"first and third","a(a|b)a(a|b)*","a(a|b)(a+b)*"
"first and third","a(a|b)a(a|b)*","a(a|b)(a|b)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a|bbb*)*"
"non isolated 'b'","(a|(b*bb))*","(a|bbb*)*"
"first and third","a(a|b)a(a|b)*","((aaa)|(aba))*"
"non isolated 'b'","(a|(b*bb))*","a*bb*ba*"
"first and third","a(a|b)a(a|b)*","((aaa)|(aba))(a|b)*"
"non isolated 'b'","(a|(b*bb))*","(a*bb*ba*)+(a*)"
"non isolated 'b'","(a|(b*bb))*","(a*bb*ba*)+(a)*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"non isolated 'b'","(a|(b*bb))*","((a*bb*ba*)+(a)*)*"
"non isolated 'b'","(a|(b*bb))*","a((a*bb*ba*)+(a)*)*"
"non isolated 'b'","(a|(b*bb))*","a*((a*bb*ba*)+(a)*)*"
"even prefix","(ab|ba)*","(ab+ba)(ab+ba)*(a+b)*"
"even prefix","(ab|ba)*","(ab+ba)*(a+b)*"
"non isolated 'b'","(a|(b*bb))*","a*(a*bb*b+a*)*"
"even prefix","(ab|ba)*","(ab+ba)*"
"even prefix","(ab|ba)*","(ab+ba)*(aa+bb)*"
"even prefix","(ab|ba)*","(ab+ba)*(aa+bb+ab+ba)*"
"even prefix","(ab|ba)*","(ab+ba)(ab+ba)*(aa+bb+ab+ba)*"
"non isolated 'b'","(a|(b*bb))*","(a|bbb*)*"
"even prefix","(ab|ba)*","(ab+ba?)(ab+ba)*(aa+bb+ab+ba)*"
"even prefix","(ab|ba)*","(ab+ba)*(ab+ba)*(aa+bb+ab+ba)*"
"even prefix","(ab|ba)*","(ab+ba)?(ab+ba)*(aa+bb+ab+ba)*"
"even prefix","(ab|ba)*","(aa*|bb*)*"
"even prefix","(ab|ba)*","(aa|bb)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"even prefix","(ab|ba)*","(a+b)*(a+b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"even prefix","(ab|ba)*","(ab|ba)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*ba)*((a|b)a*b))?"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a*b*(bab)*a*b*)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(bab)*a*b*(bab)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(ab)*bab(ab)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","((ab)*)*bab((ab)*)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|((a|b)a*b)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((ab/)*|(##*(a|b)))*##*/"
"even prefix","(ab|ba)*","(ab+ba)*(aa+bb+ab+ba)*"
"even prefix","(ab|ba)*","(ab|ba)*(aa+bb+ab+ba)*"
"even prefix","(ab|ba)*","(ab|ba)*(ab+ba)*"
"even prefix","(ab|ba)*","(ab|ba)*(aa+bb+ab+ba)*"
"even prefix","(ab|ba)*","(ab|ba)*(aa+bb+ab+ab)*"
"even prefix","(ab|ba)*","(ab|ba)*(aa+bb+ba+ab)*"
"even prefix","(ab|ba)*","(ab|ba)*(aabb+bbaa+ba+ab)*"
"even prefix","(ab|ba)*","(ab|ba)*(aabb+bbaa+ab+ba)*"
"even prefix","(ab|ba)*","(ab|ba|aabb|bbaa)*(aabb+bbaa+ab+ba)*"
"even prefix","(ab|ba)*","(ab|ba)*(aabb+bbaa+ab+ba)*"
"even prefix","(ab|ba)*","(ab|ba)*(aabb+bbaa+baba+abab)*"
"first and third","a(a|b)a(a|b)*","(aaa|aba)(a+b)*"
"first and third","a(a|b)a(a|b)*","(aaaa|aaab|abaa|abab)(a+b)*"
"first and third","a(a|b)a(a|b)*","(aaa|aba)(a|b)(a+b)*"
"first and third","a(a|b)a(a|b)*","(aaa|aba)(a+b)*"
"first and third","a(a|b)a(a|b)*","aaa"
"first and third","a(a|b)a(a|b)*","aaa|aba"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*(b|ba))*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*b)|((a|b)a*ba)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)*))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|#)*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*((a|b)a*b|(a|b)a*ba)"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b)|(/#))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b)*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#((a|b)|(/*#*))*#/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(a|b|/|(#*(a|b)))*|#*#/"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","(((a|b)a*b(a?))?)*"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(/|b|a)*#(#|(a|b)(/|a|b)*#)*/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(/|b|a)*#(#|(a|b)(/|a|b)*#)*/"
"A valid comment (Sipser 1.22b)","/#(/|a|b|##*(a|b))*##*/","/#(/|b|a)*#(#|(a|b)(/|a|b)*#)*/"
"non isolated 'b'","(a|(b*bb))*","a*(bb+a*)*"
"even prefix","(ab|ba)*","((ab)|(ba))*"
"first and third","a(a|b)a(a|b)*","a(a|b)a(a|b)*"
"HW2-#1e: NFA to REX","((a|b)a*ba)*(((a|b)a*b)?)","((a|b)a*ba)*|((a|b)a*b)"
"contains 'bab'","(a|b)*(bab)(a|b)*","(a|b)*bab(a|b)*"
